1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-56.18,12.57,165.86,30.29,168.21,0.28,172.39,11.54,122.53,48.41,fist
-56.14,12.58,165.69,30.35,169.79,0.33,172.32,11.55,122.57,48.49,fist
-56.2,12.54,165.6,30.33,171.28,0.35,172.27,11.63,122.48,48.69,fist
-56.21,12.6,165.63,30.24,172.67,0.27,172.22,11.52,122.48,48.54,fist
-56.22,12.57,165.52,30.2,173.89,0.17,172.17,11.4,122.47,48.48,fist
-56.27,12.51,165.6,30.22,175.21,0.13,172.37,11.36,122.47,48.47,fist
-56.23,12.43,165.72,30.22,176.41,0.1,172.51,11.29,122.45,48.36,fist
-56.14,12.43,165.77,30.17,177.39,0.04,172.53,11.14,122.43,48.21,fist
-56.14,12.44,165.83,30.25,178.31,0.08,172.61,11.15,122.47,48.22,fist
-56.18,12.38,165.97,30.3,179.21,0.08,172.72,11.12,122.43,48.15,fist
-56.15,12.4,166.05,30.26,179.93,0.06,172.75,11.1,122.46,48.08,fist
-56.15,12.43,166.05,30.28,180.5,0.05,172.74,11.07,122.43,48.01,fist
-56.14,12.36,166.07,30.25,181.03,0.03,172.8,11.06,122.43,47.99,fist
-56.06,12.4,166.07,30.23,181.47,0.05,172.79,11.1,122.39,47.95,fist
-55.99,12.43,166.05,30.24,181.82,0.02,172.77,11.01,122.34,47.83,fist
-55.91,12.3,166.03,30.23,182.14,0.03,172.78,11.01,122.25,47.86,fist
-55.79,12.37,166.03,30.32,182.4,0.15,172.83,11.1,122.23,47.83,fist
-55.68,12.42,166.0,30.31,182.55,0.15,172.79,11.1,122.09,47.75,fist
-55.58,12.44,166.01,30.28,182.73,0.14,172.82,11.08,122.06,47.7,fist
-55.51,12.42,165.91,30.35,182.8,0.21,172.78,11.12,122.11,47.79,fist
-55.58,12.46,165.91,30.39,182.84,0.3,172.7,11.2,122.07,47.79,fist
-55.6,12.44,165.93,30.36,182.89,0.29,172.69,11.18,122.06,47.79,fist
-55.56,12.43,165.83,30.42,182.82,0.37,172.64,11.28,122.14,47.92,fist
-55.54,12.52,165.75,30.43,182.79,0.4,172.62,11.32,122.15,47.95,fist
-55.56,12.5,165.72,30.5,182.74,0.47,172.57,11.4,122.07,47.98,fist
-55.62,12.56,165.72,30.6,182.73,0.57,172.67,11.52,122.21,48.1,fist
-55.59,12.52,165.67,30.58,182.64,0.54,172.6,11.49,122.14,48.13,fist
-55.55,12.5,165.68,30.57,182.58,0.57,172.62,11.55,122.23,48.18,fist
-55.54,12.5,165.56,30.56,182.43,0.54,172.57,11.51,122.21,48.19,fist
-55.54,12.47,165.55,30.49,182.33,0.48,172.57,11.47,122.17,48.22,fist
-55.56,12.4,165.56,30.49,182.25,0.5,172.64,11.5,122.19,48.28,fist
-55.53,12.38,165.55,30.45,182.11,0.5,172.62,11.53,122.21,48.32,fist
-55.62,12.36,165.6,30.45,181.99,0.53,172.59,11.59,122.27,48.43,fist
