1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
102.1,-21.9,127.33,-68.92,-2.82,-67.89,11.23,-49.89,-1.67,-63.62,how are
102.16,-22.0,126.94,-68.75,-2.73,-67.67,11.09,-49.74,-1.86,-63.51,how are
102.17,-21.97,126.93,-68.61,-2.67,-67.62,11.23,-49.55,-1.78,-63.38,how are
102.18,-22.07,126.58,-68.38,-2.2,-67.48,11.32,-49.13,-1.79,-63.01,how are
102.18,-21.92,126.46,-68.32,-2.24,-67.41,11.36,-48.96,-1.65,-62.76,how are
102.37,-22.12,126.32,-68.31,-1.99,-67.43,11.7,-48.78,-1.63,-62.36,how are
102.45,-21.89,125.79,-68.48,-2.34,-66.96,11.66,-48.91,-1.93,-62.4,how are
102.19,-21.81,126.13,-68.45,-2.07,-67.15,11.85,-49.17,-1.99,-62.45,how are
102.15,-21.9,125.94,-68.42,-1.87,-67.09,11.87,-49.04,-2.15,-62.31,how are
102.12,-21.78,125.73,-68.36,-1.39,-67.09,11.87,-48.95,-2.18,-62.29,how are
102.05,-21.79,125.4,-68.33,-1.3,-66.9,11.72,-48.9,-2.39,-62.3,how are
102.0,-21.72,125.31,-68.28,-0.99,-66.65,11.93,-48.65,-2.09,-62.13,how are
101.94,-21.93,125.33,-68.29,-0.75,-66.68,11.96,-48.64,-2.14,-62.16,how are
101.96,-22.03,125.45,-68.41,-1.0,-66.78,11.8,-48.63,-2.3,-62.1,how are
101.94,-21.96,125.39,-68.38,-0.92,-66.82,11.81,-48.17,-2.31,-61.73,how are
101.97,-21.82,125.72,-68.3,-0.58,-66.83,11.74,-48.25,-2.34,-61.78,how are
101.7,-21.85,125.73,-68.27,-0.02,-67.05,11.88,-48.41,-2.44,-61.72,how are
101.62,-21.85,125.59,-68.15,-0.01,-67.08,11.84,-48.28,-2.35,-61.53,how are
101.59,-21.89,125.64,-68.12,0.01,-66.97,11.79,-48.08,-2.4,-61.32,how are
101.46,-21.8,125.41,-68.12,0.29,-67.03,11.79,-48.07,-2.43,-61.29,how are
101.42,-21.75,125.42,-68.06,0.43,-67.1,11.75,-48.16,-2.51,-61.41,how are
101.47,-22.01,125.05,-68.21,0.03,-67.14,11.5,-48.18,-2.85,-61.45,how are
101.48,-21.96,124.92,-68.34,0.08,-67.03,11.86,-48.21,-2.58,-61.51,how are
101.47,-21.94,124.75,-68.37,0.31,-66.98,12.08,-48.06,-2.37,-61.53,how are
101.47,-21.83,124.88,-68.38,0.23,-66.93,12.0,-47.32,-2.57,-60.52,how are
101.08,-21.85,125.18,-68.23,0.78,-66.89,12.29,-46.87,-1.94,-60.31,how are
100.69,-21.99,125.07,-68.14,1.71,-67.05,13.06,-47.23,-0.94,-60.66,how are
99.9,-22.05,125.36,-68.24,2.0,-67.46,13.41,-47.77,-0.52,-61.12,how are
99.53,-22.53,125.57,-68.26,0.79,-67.18,13.17,-47.84,-0.96,-60.95,how are
99.83,-22.78,125.4,-68.2,0.52,-66.81,13.09,-47.47,-0.9,-60.59,how are
100.27,-23.23,125.07,-68.26,0.1,-66.35,13.05,-47.89,-0.96,-61.45,how are
102.01,-22.94,124.28,-63.88,0.65,-63.44,12.01,-47.47,-1.74,-61.55,how are
102.01,-23.3,125.02,-63.76,-0.22,-62.44,11.78,-47.01,-2.05,-60.92,how are
101.95,-23.82,123.67,-65.4,-0.13,-61.75,11.75,-46.28,-2.34,-59.88,how are
101.88,-24.12,122.71,-66.94,-0.24,-61.7,11.73,-46.18,-2.5,-59.57,how are
102.02,-24.34,121.94,-67.69,-0.67,-61.37,11.39,-45.88,-2.91,-59.24,how are
102.02,-24.53,121.33,-68.55,-1.42,-61.23,11.08,-45.79,-3.16,-59.14,how are
101.86,-24.52,120.51,-69.07,-1.49,-61.14,11.17,-45.77,-3.07,-59.19,how are
101.78,-24.41,120.63,-69.67,-1.71,-61.28,11.31,-45.74,-3.0,-59.24,how are
101.64,-24.34,119.97,-70.16,-2.03,-61.29,11.34,-45.88,-2.86,-59.43,how are
101.65,-24.37,119.61,-70.67,-2.22,-61.21,11.22,-45.79,-2.84,-59.33,how are
101.62,-24.37,119.48,-71.19,-2.51,-61.39,11.12,-45.69,-2.94,-59.22,how are
101.46,-24.37,118.92,-71.57,-2.67,-61.43,11.09,-45.68,-3.05,-59.24,how are
101.8,-24.35,119.37,-72.16,-2.99,-61.66,10.82,-45.83,-3.52,-59.36,how are
101.6,-24.09,119.14,-72.27,-2.61,-61.7,10.94,-45.92,-3.41,-59.54,how are
101.4,-23.9,119.15,-72.58,-2.6,-61.96,11.27,-46.18,-2.97,-59.95,how are
100.84,-23.45,118.79,-71.48,-1.21,-62.1,11.54,-46.44,-2.62,-60.21,how are
101.16,-24.58,117.48,-71.51,-3.28,-61.58,10.09,-45.59,-4.0,-59.09,how are
102.08,-25.48,117.52,-72.52,-5.23,-60.77,9.29,-44.94,-4.79,-58.44,how are
102.68,-25.57,117.48,-73.53,-5.65,-60.55,9.19,-44.82,-4.77,-58.51,how are
102.54,-24.84,118.41,-73.92,-5.07,-60.97,9.96,-45.76,-4.22,-59.37,how are
101.67,-23.81,118.84,-73.6,-3.1,-61.73,11.03,-46.69,-3.17,-60.44,how are
100.8,-23.28,118.83,-73.09,-1.8,-62.2,11.45,-47.38,-3.15,-61.06,how are
100.4,-23.47,118.42,-72.69,-1.39,-62.36,11.46,-47.81,-3.2,-61.48,how are
100.58,-23.97,117.86,-72.79,-2.16,-62.24,11.05,-47.62,-3.39,-61.3,how are
101.28,-24.7,118.5,-73.01,-3.89,-61.75,10.01,-46.79,-4.33,-60.27,how are
101.86,-25.15,118.48,-73.41,-4.85,-61.33,9.68,-46.06,-4.52,-59.6,how are
102.26,-24.99,119.22,-73.91,-5.55,-61.14,9.51,-45.64,-4.66,-59.32,how are
101.78,-23.45,120.79,-72.8,-3.43,-61.76,10.87,-46.19,-3.14,-59.81,how are
101.38,-23.48,120.67,-72.3,-3.36,-61.89,10.6,-46.07,-3.59,-59.56,how are
101.53,-23.81,120.42,-72.55,-3.91,-61.63,10.37,-45.77,-3.81,-59.27,how are
101.6,-23.68,120.61,-72.61,-4.12,-61.8,10.41,-45.96,-3.84,-59.51,how are
101.4,-23.31,120.53,-72.39,-4.29,-61.9,10.49,-46.16,-3.89,-59.62,how are
101.47,-23.22,120.51,-72.22,-4.36,-61.83,10.37,-45.94,-3.9,-59.38,how are
101.56,-23.14,120.77,-72.18,-4.36,-61.88,10.48,-45.95,-3.74,-59.3,how are
101.48,-22.98,121.12,-72.06,-4.15,-62.01,10.5,-46.02,-3.72,-59.34,how are
101.65,-22.96,121.51,-72.08,-4.31,-62.06,10.48,-46.0,-3.66,-59.29,how are
101.62,-23.06,121.81,-72.12,-4.21,-62.25,10.45,-46.09,-3.8,-59.33,how are
101.67,-22.96,121.95,-72.03,-4.39,-62.29,10.37,-46.13,-3.89,-59.39,how are
101.7,-22.86,122.09,-71.87,-4.35,-62.19,10.37,-45.98,-3.88,-59.19,how are
102.02,-22.85,122.46,-72.04,-4.67,-61.92,10.42,-45.72,-3.7,-59.03,how are
101.94,-22.4,122.73,-71.73,-4.38,-61.52,11.08,-45.56,-2.82,-58.96,how are
101.58,-22.1,122.88,-71.48,-3.71,-61.76,11.27,-45.83,-2.76,-59.29,how are
101.37,-22.11,122.85,-71.27,-3.4,-61.89,11.2,-45.92,-2.82,-59.25,how are
101.62,-22.66,122.68,-71.56,-4.29,-61.88,10.6,-45.78,-3.44,-58.93,how are
101.9,-22.78,122.89,-72.04,-4.96,-62.04,10.43,-45.91,-3.5,-58.99,how are
101.78,-22.65,122.72,-72.02,-4.71,-62.09,10.71,-46.07,-3.23,-59.16,how are
101.5,-22.56,122.53,-71.78,-4.19,-62.16,10.87,-46.18,-3.08,-59.2,how are
101.68,-22.74,122.79,-71.86,-4.58,-62.07,10.8,-46.02,-3.26,-59.02,how are
101.66,-22.65,122.63,-71.79,-4.46,-61.88,11.08,-45.82,-2.92,-58.95,how are
101.56,-22.7,122.6,-71.82,-4.34,-61.99,11.19,-46.0,-2.61,-59.18,how are
101.65,-22.77,122.65,-71.74,-4.25,-61.95,11.15,-45.88,-2.75,-59.06,how are
101.65,-22.88,122.51,-71.66,-4.22,-61.77,11.22,-45.69,-2.7,-58.95,how are
101.64,-22.89,122.64,-71.55,-3.99,-61.91,11.18,-45.69,-2.74,-58.98,how are
101.71,-22.96,122.36,-71.74,-4.18,-62.07,10.86,-45.71,-3.17,-59.06,how are
101.8,-23.09,122.16,-71.74,-4.29,-62.07,10.63,-45.75,-3.43,-59.14,how are
101.7,-22.98,121.99,-71.62,-4.08,-62.18,10.49,-45.87,-3.84,-59.31,how are
101.46,-22.94,121.57,-71.48,-3.92,-62.13,10.46,-46.04,-3.91,-59.51,how are
101.34,-22.95,121.45,-71.46,-3.75,-62.27,10.44,-46.21,-3.99,-59.66,how are
101.45,-23.07,121.53,-71.48,-3.99,-62.2,10.35,-46.18,-4.18,-59.58,how are
101.46,-23.14,121.45,-71.5,-4.14,-62.1,10.26,-46.13,-4.33,-59.47,how are
101.45,-23.22,121.34,-71.55,-3.82,-62.29,10.31,-46.24,-4.46,-59.6,how are
101.57,-23.35,121.05,-71.46,-4.0,-61.96,10.33,-46.12,-4.45,-59.32,how are
101.56,-23.4,120.92,-71.46,-3.82,-61.94,10.43,-46.03,-4.15,-59.31,how are
101.63,-23.41,121.09,-71.59,-3.88,-62.05,10.27,-46.07,-4.38,-59.4,how are
101.66,-23.41,121.9,-71.62,-4.0,-62.22,10.18,-46.24,-4.36,-59.6,how are
101.67,-23.47,121.82,-71.68,-3.98,-62.39,9.92,-46.5,-4.8,-59.86,how are
101.61,-23.41,121.42,-71.55,-3.89,-62.28,9.94,-46.44,-4.85,-59.91,how are
101.63,-23.46,121.65,-71.55,-4.11,-62.33,9.7,-46.58,-5.28,-59.91,how are
101.54,-23.39,121.81,-71.47,-4.16,-62.32,9.53,-46.52,-5.47,-59.78,how are
101.57,-23.41,122.21,-71.48,-4.46,-62.42,9.33,-46.55,-5.67,-59.66,how are
101.45,-23.35,122.31,-71.25,-4.43,-62.36,9.5,-46.57,-5.54,-59.58,how are
101.24,-23.4,122.23,-71.18,-4.37,-62.39,9.61,-46.62,-5.38,-59.67,how are
101.17,-23.48,122.07,-71.23,-4.26,-62.57,9.69,-46.75,-5.29,-59.87,how are
101.42,-23.61,122.21,-71.41,-4.64,-62.49,9.43,-46.57,-5.6,-59.74,how are
101.59,-23.57,122.49,-71.4,-4.62,-62.38,9.62,-46.57,-5.42,-59.73,how are
101.35,-23.51,122.43,-71.18,-4.0,-62.5,9.87,-46.64,-5.29,-59.74,how are
101.2,-23.53,122.4,-71.01,-3.77,-62.38,10.06,-46.4,-5.11,-59.47,how are
101.13,-23.6,122.38,-71.07,-3.63,-62.4,10.19,-46.32,-5.05,-59.45,how are
101.14,-23.56,122.33,-71.04,-3.23,-62.37,10.5,-46.29,-4.52,-59.48,how are
101.15,-23.55,122.4,-71.01,-3.15,-62.51,10.57,-46.25,-4.56,-59.42,how are
101.07,-23.57,122.05,-70.92,-3.24,-62.19,10.57,-46.02,-4.58,-59.24,how are
101.12,-23.58,122.25,-70.92,-3.15,-62.23,10.61,-46.1,-4.56,-59.28,how are
101.12,-23.65,122.25,-70.91,-3.03,-62.27,10.58,-46.04,-4.55,-59.23,how are
101.17,-23.62,122.46,-70.95,-3.04,-62.28,10.68,-46.13,-4.37,-59.39,how are
101.2,-23.6,122.44,-70.99,-3.25,-62.27,10.67,-46.23,-4.33,-59.5,how are
101.31,-23.73,122.59,-71.18,-3.53,-62.29,10.65,-46.33,-4.41,-59.57,how are
