1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-12.27,-33.13,16.3,28.69,143.39,65.69,53.6,35.91,81.65,-58.81,i
-12.2,-33.14,16.37,28.65,143.3,65.74,53.76,35.86,81.26,-59.14,i
-12.2,-33.09,16.31,28.78,143.19,66.07,53.84,36.68,79.95,-58.37,i
-12.34,-33.19,16.06,28.78,143.27,66.22,53.89,36.85,79.93,-58.35,i
-12.16,-33.38,16.01,28.58,143.27,66.33,53.89,36.79,79.74,-58.45,i
-12.02,-33.4,16.06,28.49,143.23,66.43,53.92,36.66,79.12,-58.66,i
-12.03,-33.48,16.09,28.49,143.17,66.56,53.79,36.74,78.87,-58.78,i
-12.06,-33.57,16.03,28.39,143.16,66.57,53.73,36.7,78.86,-58.89,i
-12.15,-33.5,16.12,28.43,143.0,66.54,53.7,36.69,78.93,-59.14,i
-12.25,-33.46,16.13,28.47,143.2,66.38,53.66,36.31,78.23,-59.63,i
-12.37,-33.4,16.11,28.63,143.35,66.36,53.81,36.73,77.51,-59.19,i
-12.24,-33.36,16.27,28.58,143.24,66.56,53.86,37.18,77.49,-58.77,i
-12.14,-33.29,16.52,28.49,143.07,66.44,54.04,37.05,78.19,-58.71,i
-12.1,-33.14,16.74,28.52,142.95,66.33,54.31,36.94,78.16,-58.74,i
-12.13,-33.36,16.57,28.41,142.97,66.29,54.18,36.54,77.44,-59.16,i
-11.9,-33.56,16.45,28.22,142.48,66.54,53.83,37.24,77.52,-58.8,i
-11.81,-33.46,16.63,28.19,142.29,66.5,53.92,37.09,77.85,-59.04,i
-12.25,-33.29,16.41,28.33,142.48,66.12,54.18,36.5,77.24,-59.81,i
-12.35,-33.34,16.23,28.56,142.61,66.22,54.37,37.2,75.82,-58.88,i
-12.26,-33.26,16.3,28.59,142.4,66.52,54.61,37.88,76.16,-58.01,i
-12.29,-33.25,16.38,28.51,142.55,66.53,54.66,37.5,76.47,-58.14,i
-12.4,-33.4,16.25,28.5,142.79,66.53,54.72,37.42,75.37,-57.73,i
-12.11,-33.39,16.51,28.28,142.6,66.59,54.98,37.74,75.9,-57.67,i
-11.79,-33.34,16.83,28.07,142.24,66.59,55.12,37.46,77.08,-57.31,i
