1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-68.37,-14.68,27.74,23.1,75.23,43.51,77.76,8.6,69.06,-13.05,love
-68.61,-15.09,27.6,23.22,75.23,43.73,77.79,8.72,69.0,-13.06,love
-68.58,-15.52,27.36,23.35,75.15,44.04,77.63,8.88,68.84,-13.05,love
-68.32,-15.98,27.17,23.5,75.04,44.39,77.7,9.24,68.73,-12.81,love
-68.01,-16.4,26.96,23.61,74.85,44.75,77.64,9.73,68.54,-12.4,love
-67.63,-16.51,26.95,23.77,74.72,45.13,77.59,10.21,68.46,-11.95,love
-67.35,-16.53,27.08,23.72,74.53,45.36,77.61,10.55,68.45,-11.57,love
-67.04,-16.29,27.44,23.68,74.54,45.3,77.6,10.79,68.52,-11.31,love
-67.07,-15.99,27.7,23.51,74.71,44.92,77.58,10.56,68.63,-11.42,love
-67.2,-15.8,27.92,23.27,74.98,44.59,77.63,10.15,68.7,-11.71,love
-67.42,-15.88,27.87,23.12,75.16,44.27,77.73,9.82,68.77,-12.03,love
-67.4,-15.95,27.89,23.11,75.16,44.17,77.61,9.73,68.67,-12.13,love
-67.26,-16.11,27.81,23.06,75.13,44.07,77.6,9.69,68.64,-12.24,love
-67.2,-15.97,27.95,23.2,75.25,44.17,77.63,9.69,68.63,-12.22,love
-67.29,-16.2,27.91,23.13,75.19,44.21,77.58,9.69,68.51,-12.24,love
-67.05,-16.67,27.77,23.2,74.95,44.41,77.42,9.94,68.41,-11.95,love
-66.83,-16.45,27.92,23.14,74.75,44.4,77.14,10.1,68.02,-11.31,love
-66.72,-16.37,27.99,22.96,74.56,44.33,77.1,10.12,68.05,-11.31,love
-66.56,-16.18,28.3,22.81,74.55,44.11,77.15,10.07,68.17,-11.32,love
-66.61,-15.6,28.55,22.76,74.79,43.83,77.46,9.67,68.27,-11.53,love
-66.62,-15.29,28.86,22.45,75.0,43.35,77.54,9.13,68.39,-11.98,love
-67.0,-15.32,28.93,22.38,75.27,43.45,77.86,8.61,68.31,-12.52,love
-67.08,-15.58,28.94,22.23,75.42,43.2,78.17,8.34,68.43,-12.81,love
-67.38,-15.81,28.84,22.43,75.67,43.28,78.2,8.32,68.41,-12.99,love
-67.44,-15.95,28.76,22.28,75.84,42.99,78.29,8.13,68.37,-13.14,love
-67.55,-16.24,28.58,22.26,75.74,42.98,78.13,8.18,68.33,-13.23,love
-67.73,-16.22,28.5,22.54,75.81,43.15,78.18,8.25,68.36,-13.24,love
-68.01,-16.56,28.2,22.83,75.81,43.54,78.14,8.56,68.17,-13.1,love
-67.83,-16.98,28.06,23.1,75.81,43.88,78.19,8.88,68.06,-12.94,love
-67.74,-17.22,27.9,23.2,75.74,44.13,78.13,9.25,67.94,-12.65,love
-67.02,-17.55,27.98,23.52,75.54,44.61,78.44,10.0,67.99,-12.02,love
-66.76,-17.13,28.18,23.61,75.53,44.73,78.45,10.22,68.04,-11.62,love
-66.76,-17.08,28.35,23.69,75.66,44.84,78.64,10.34,68.04,-11.44,love
-66.57,-16.96,28.53,23.19,75.58,44.31,78.61,10.13,68.12,-11.53,love
-66.6,-16.58,28.64,23.21,75.64,44.14,78.65,9.96,68.3,-11.66,love
-66.86,-16.31,28.78,22.98,75.84,43.72,78.78,9.52,68.39,-12.0,love
-66.77,-16.19,28.88,22.76,75.91,43.37,78.85,9.08,68.52,-12.29,love
-66.91,-15.99,28.86,22.59,76.01,43.12,78.92,8.68,68.62,-12.68,love
-67.06,-16.29,28.78,22.42,75.94,43.04,78.82,8.61,68.55,-12.76,love
-66.7,-16.24,28.66,22.54,75.8,43.06,78.78,8.7,68.6,-12.73,love
-66.77,-16.06,28.7,22.6,75.8,42.98,78.81,8.68,68.69,-12.73,love
-66.95,-15.83,28.9,22.77,76.1,42.87,79.11,8.38,68.9,-13.02,love
-66.88,-16.05,28.88,22.51,76.16,42.58,79.23,8.05,68.97,-13.28,love
-66.8,-15.99,28.99,22.35,76.27,42.39,79.34,7.92,69.16,-13.47,love
-66.86,-15.96,28.99,22.4,76.48,42.36,79.52,7.82,69.13,-13.59,love
-66.87,-16.3,28.82,22.54,76.44,42.41,79.5,7.85,69.07,-13.53,love
-66.65,-16.49,28.75,22.54,76.26,42.39,79.45,7.97,69.01,-13.33,love
-66.62,-16.38,28.72,22.52,76.16,42.52,79.3,8.13,68.94,-13.22,love
-66.18,-16.21,28.93,22.55,76.04,42.41,79.39,7.99,69.13,-13.23,love
-66.28,-15.78,29.17,22.45,76.16,42.16,79.42,7.81,69.24,-13.36,love
-66.46,-15.75,29.3,22.41,76.26,42.08,79.36,7.66,69.29,-13.45,love
-66.81,-15.91,29.3,22.25,76.27,42.01,79.3,7.47,69.26,-13.52,love
-66.7,-15.92,29.35,22.19,76.34,41.95,79.37,7.48,69.26,-13.42,love
-66.42,-16.04,29.33,22.36,76.34,42.06,79.44,7.62,69.23,-13.32,love
-66.36,-16.12,29.39,22.28,76.27,42.06,79.4,7.75,69.14,-13.14,love
-66.2,-16.12,29.58,22.03,76.27,41.84,79.51,7.6,69.19,-13.05,love
-65.95,-16.09,29.66,22.17,76.34,42.01,79.73,7.58,69.26,-12.92,love
-65.91,-15.94,29.81,22.36,76.52,42.11,79.88,7.5,69.28,-12.92,love
-65.61,-16.03,29.85,22.35,76.46,42.18,79.84,7.58,69.2,-12.83,love
-65.72,-15.92,30.01,22.28,76.65,42.03,79.93,7.44,69.28,-12.95,love
-65.77,-15.92,30.15,22.36,76.92,41.95,80.12,7.27,69.31,-13.02,love
-65.99,-16.08,30.22,22.57,77.16,42.15,80.27,7.28,69.37,-13.11,love
-65.96,-15.99,30.44,22.57,77.37,42.1,80.38,7.15,69.42,-13.33,love
-65.93,-15.82,30.56,22.59,77.44,42.08,80.37,7.12,69.41,-13.37,love
-66.17,-15.83,30.49,22.58,77.48,42.02,80.3,6.95,69.4,-13.67,love
-66.46,-16.01,30.21,22.79,77.48,42.19,80.21,6.89,69.39,-13.93,love
-66.43,-16.07,29.92,23.09,77.57,42.43,80.22,6.92,69.34,-14.06,love
-66.75,-16.48,29.67,23.27,77.53,42.58,80.16,6.95,69.34,-14.2,love
-67.04,-16.99,29.24,23.8,77.52,43.11,80.01,7.47,69.1,-14.08,love
-67.15,-17.46,28.99,24.04,77.47,43.43,79.84,7.87,68.85,-13.91,love
-66.98,-17.92,28.7,24.2,77.42,43.73,79.67,8.5,68.59,-13.48,love
-66.82,-18.03,28.57,24.41,77.41,44.17,79.58,9.07,68.32,-13.02,love
-66.32,-18.34,28.45,24.45,77.29,44.39,79.67,9.36,68.27,-12.66,love
-65.99,-18.23,28.46,24.5,77.02,44.72,79.7,9.63,68.19,-12.31,love
-65.93,-17.95,28.64,24.52,77.15,44.73,79.74,9.51,68.35,-12.47,love
-65.83,-17.84,28.86,24.08,76.97,44.4,79.74,9.21,68.44,-12.51,love
-65.25,-17.79,29.0,23.84,76.57,44.27,79.75,9.26,68.52,-12.19,love
-64.96,-17.44,29.18,23.78,76.45,44.24,79.78,9.43,68.7,-11.93,love
-65.03,-17.02,29.45,23.93,76.74,44.19,80.13,9.14,68.92,-11.94,love
-65.14,-16.99,29.62,23.81,76.92,44.02,80.21,8.84,68.84,-12.1,love
-65.36,-17.03,29.55,24.02,77.07,44.15,80.21,8.83,68.69,-12.16,love
-65.34,-17.4,29.44,24.13,77.11,44.39,80.19,9.09,68.5,-11.99,love
-65.21,-17.74,29.16,24.3,77.03,44.55,79.96,9.35,68.3,-11.84,love
-65.08,-17.93,29.03,24.37,76.92,44.65,79.7,9.67,68.15,-11.63,love
-65.01,-18.11,28.98,24.42,76.84,44.83,79.63,9.96,68.01,-11.4,love
