1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
67.19,-63.69,13.96,-30.15,31.12,43.63,38.71,-14.09,29.31,-41.33,peace
66.88,-64.11,13.66,-29.35,31.01,44.18,38.86,-13.4,29.33,-40.61,peace
67.13,-64.0,13.68,-29.06,31.02,44.53,38.73,-13.06,29.45,-40.21,peace
66.83,-64.34,13.7,-28.71,30.72,44.91,38.5,-12.31,29.34,-39.26,peace
66.68,-64.25,13.96,-28.36,30.72,45.1,38.59,-12.0,29.41,-38.74,peace
67.3,-64.7,13.75,-28.52,30.65,45.07,38.27,-11.93,29.26,-38.36,peace
67.45,-64.49,13.82,-28.31,30.52,45.15,37.99,-11.81,29.14,-38.14,peace
68.01,-64.73,13.56,-28.03,30.34,45.41,37.97,-11.5,29.07,-37.84,peace
67.89,-64.95,13.36,-27.89,30.03,45.62,37.56,-11.06,28.9,-37.29,peace
67.85,-64.82,13.45,-27.77,29.91,45.7,37.36,-10.8,28.88,-36.91,peace
67.65,-64.82,13.53,-27.6,29.84,45.83,37.28,-10.49,28.9,-36.44,peace
67.43,-64.66,13.66,-27.48,29.97,45.8,37.36,-10.54,28.84,-36.33,peace
67.96,-64.6,13.49,-27.18,29.93,46.14,37.56,-10.24,29.16,-36.05,peace
68.11,-64.52,13.38,-27.02,30.01,46.21,37.46,-10.0,29.13,-35.6,peace
67.81,-64.44,13.49,-27.03,29.92,46.24,37.24,-9.77,28.94,-35.14,peace
67.25,-64.4,13.67,-26.88,29.94,46.12,37.36,-9.81,28.91,-35.01,peace
67.23,-64.23,13.8,-26.6,30.12,46.2,37.57,-9.81,29.06,-35.03,peace
67.44,-64.05,13.79,-26.41,30.2,46.36,37.73,-9.66,29.28,-34.93,peace
67.44,-64.1,13.72,-26.26,30.07,46.42,37.62,-9.46,29.18,-34.73,peace
67.26,-63.98,13.82,-26.18,30.08,46.34,37.58,-9.49,29.08,-34.73,peace
67.22,-63.88,13.89,-25.99,30.19,46.43,37.73,-9.43,29.26,-34.68,peace
67.28,-63.9,13.82,-26.0,30.2,46.35,37.69,-9.54,29.25,-34.75,peace
67.33,-63.96,13.77,-26.12,30.07,46.22,37.45,-9.62,29.1,-34.75,peace
67.38,-63.92,13.75,-26.0,29.91,46.33,37.26,-9.45,29.09,-34.61,peace
67.52,-63.78,13.76,-25.94,29.8,46.41,37.22,-9.35,29.12,-34.48,peace
67.37,-63.82,13.76,-25.83,29.73,46.46,37.1,-9.23,29.09,-34.32,peace
67.47,-63.78,13.81,-25.79,29.8,46.42,37.24,-9.31,29.17,-34.39,peace
67.78,-63.81,13.71,-25.79,29.67,46.52,37.12,-9.18,29.15,-34.29,peace
67.79,-63.86,13.73,-25.79,29.53,46.54,37.1,-9.05,29.14,-34.18,peace
