1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
103.68,-81.41,77.73,-8.08,87.97,18.15,108.64,1.87,113.24,-9.99,smile
104.52,-81.11,77.71,-8.18,88.14,18.12,108.84,1.78,113.48,-10.24,smile
103.96,-81.29,77.38,-7.97,88.18,18.06,108.74,1.72,113.44,-10.23,smile
102.62,-81.74,77.65,-8.01,88.02,18.2,108.46,1.96,113.31,-9.83,smile
101.09,-81.81,77.62,-7.93,88.01,17.96,108.35,1.86,113.16,-9.69,smile
98.98,-81.83,77.9,-7.87,87.91,17.81,108.2,1.77,113.06,-9.59,smile
96.57,-81.89,77.86,-7.7,88.0,17.72,108.14,1.7,112.94,-9.6,smile
93.33,-81.65,77.82,-7.8,88.2,17.21,108.16,1.24,112.78,-10.01,smile
93.18,-81.46,77.56,-7.76,88.23,17.01,108.22,0.95,112.76,-10.29,smile
92.78,-81.61,77.54,-7.52,88.29,16.85,108.22,0.73,112.79,-10.44,smile
93.17,-81.63,77.68,-7.43,88.23,16.74,108.18,0.59,112.74,-10.54,smile
95.2,-81.63,77.88,-7.58,88.3,16.84,108.31,0.64,112.82,-10.65,smile
96.99,-81.43,77.7,-7.25,88.33,17.15,108.37,0.82,112.91,-10.66,smile
97.59,-81.29,77.88,-7.25,88.27,17.27,108.26,0.82,112.86,-10.73,smile
96.06,-81.57,77.68,-7.09,88.29,17.24,108.15,0.76,112.7,-10.72,smile
95.56,-81.48,77.74,-7.13,88.31,17.28,108.08,0.78,112.59,-10.78,smile
97.15,-81.63,77.69,-7.13,88.33,17.3,108.1,0.84,112.51,-10.8,smile
98.07,-81.8,77.83,-7.02,88.29,17.5,108.02,1.03,112.58,-10.64,smile
99.19,-82.05,78.08,-7.21,88.25,17.56,107.95,1.13,112.67,-10.53,smile
99.77,-81.93,78.25,-7.29,88.23,17.61,107.91,1.15,112.72,-10.54,smile
99.23,-82.18,78.52,-7.58,88.23,17.44,107.8,1.03,112.72,-10.6,smile
99.45,-82.33,78.71,-7.97,88.06,17.34,107.56,0.99,112.51,-10.57,smile
99.21,-82.28,78.64,-7.97,88.05,17.25,107.56,0.99,112.57,-10.54,smile
98.99,-82.31,78.67,-8.12,88.33,16.95,107.57,0.63,112.38,-10.81,smile
100.0,-82.08,78.37,-8.19,88.46,16.86,107.89,0.47,112.45,-11.21,smile
100.68,-82.23,78.73,-8.31,88.43,16.96,107.9,0.83,112.72,-10.77,smile
101.44,-82.25,78.5,-8.06,88.3,17.36,107.74,1.13,112.62,-10.61,smile
100.72,-82.63,78.61,-8.12,88.28,17.7,107.48,1.57,112.38,-10.22,smile
100.89,-82.56,78.51,-7.79,88.25,18.21,107.11,1.92,112.02,-10.02,smile
100.79,-82.78,78.64,-7.92,88.25,17.83,107.07,1.7,112.02,-10.0,smile
101.44,-82.6,78.15,-8.16,88.54,17.45,107.47,1.38,112.17,-10.34,smile
102.13,-82.39,77.66,-8.15,88.57,17.43,107.61,1.14,112.13,-10.8,smile
104.19,-82.15,77.68,-8.18,88.57,17.74,107.71,1.25,112.31,-10.86,smile
103.39,-82.29,77.47,-8.03,88.6,17.77,107.8,1.19,112.31,-10.93,smile
101.36,-82.34,77.53,-7.92,88.5,17.83,107.51,1.08,112.04,-11.03,smile
100.43,-82.54,77.74,-8.02,88.43,17.95,107.35,1.27,111.93,-10.71,smile
100.0,-82.53,77.55,-8.11,88.49,17.72,107.38,1.1,111.86,-10.88,smile
100.54,-82.56,77.54,-8.44,88.55,17.56,107.52,0.9,111.82,-11.11,smile
101.56,-82.29,77.32,-8.37,88.52,17.64,107.66,0.89,111.94,-11.25,smile
102.66,-82.6,77.36,-8.72,88.4,17.48,107.58,0.83,112.03,-11.36,smile
103.5,-82.57,77.72,-8.66,88.23,17.79,107.53,1.04,112.25,-11.21,smile
103.34,-82.87,77.66,-8.41,88.13,18.05,107.45,1.36,112.21,-10.89,smile
103.78,-83.06,78.12,-8.61,88.01,18.2,107.37,1.6,112.31,-10.59,smile
103.23,-83.13,78.55,-8.65,87.79,18.48,107.11,1.83,112.26,-10.2,smile
100.8,-83.33,78.54,-8.53,87.8,18.45,106.95,1.93,112.07,-9.92,smile
100.99,-83.26,78.52,-8.77,87.81,18.34,106.91,1.83,111.98,-9.97,smile
100.08,-83.12,78.82,-9.17,87.81,18.16,106.91,1.66,112.01,-10.04,smile
99.35,-82.88,78.26,-8.8,87.92,18.15,106.99,1.63,111.99,-10.12,smile
98.24,-82.57,78.07,-8.54,88.15,18.16,107.15,1.53,111.96,-10.26,smile
97.32,-82.22,77.84,-8.2,88.32,18.17,107.14,1.46,111.81,-10.44,smile
98.14,-81.91,77.84,-8.22,88.4,17.98,107.3,1.29,111.83,-10.61,smile
98.06,-81.65,77.67,-8.07,88.59,17.81,107.46,1.07,111.82,-10.93,smile
98.3,-81.29,77.96,-8.08,88.54,17.75,107.4,0.86,111.79,-11.21,smile
99.94,-81.02,77.99,-8.22,88.68,17.6,107.64,0.72,111.97,-11.48,smile
101.28,-80.89,78.37,-8.64,88.75,17.44,107.7,0.52,111.98,-11.79,smile
