1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-35.66,4.54,5.52,14.69,32.75,28.64,34.86,6.0,37.68,-0.64,static
-35.58,4.58,5.58,14.7,32.76,28.64,34.86,6.0,37.71,-0.65,static
-35.56,4.56,5.65,14.7,32.8,28.62,34.87,5.98,37.73,-0.65,static
-35.56,4.53,5.67,14.63,32.79,28.57,34.87,5.95,37.77,-0.69,static
-35.58,4.52,5.67,14.6,32.78,28.54,34.87,5.91,37.73,-0.68,static
-35.56,4.53,5.66,14.57,32.8,28.5,34.92,5.88,37.79,-0.72,static
-35.6,4.54,5.62,14.6,32.8,28.53,34.9,5.89,37.78,-0.73,static
-35.66,4.58,5.57,14.74,32.81,28.68,34.91,6.01,37.76,-0.68,static
-35.67,4.63,5.54,14.86,32.86,28.8,34.93,6.08,37.78,-0.69,static
-35.64,4.63,5.58,14.89,32.88,28.78,34.93,6.04,37.8,-0.69,static
-35.66,4.63,5.59,14.88,32.88,28.77,34.93,6.04,37.81,-0.7,static
-35.66,4.63,5.59,14.94,32.9,28.85,34.97,6.12,37.83,-0.69,static
-35.67,4.64,5.57,14.97,32.9,28.89,34.97,6.19,37.83,-0.64,static
-35.71,4.67,5.53,15.01,32.89,28.95,34.96,6.25,37.8,-0.65,static
-35.73,4.67,5.51,15.03,32.87,28.96,34.94,6.25,37.73,-0.63,static
-35.74,4.73,5.48,15.14,32.87,29.08,34.94,6.34,37.71,-0.63,static
-35.7,4.72,5.5,15.14,32.9,29.12,34.98,6.41,37.74,-0.59,static
-35.7,4.67,5.52,15.1,32.94,29.12,34.99,6.41,37.73,-0.55,static
-35.73,4.65,5.49,15.07,32.92,29.1,34.99,6.42,37.74,-0.56,static
-35.76,4.66,5.48,15.08,32.92,29.09,35.0,6.37,37.75,-0.55,static
-35.78,4.69,5.47,15.12,32.92,29.15,35.01,6.4,37.76,-0.55,static
-35.8,4.69,5.43,15.17,32.93,29.22,35.04,6.49,37.8,-0.54,static
-35.84,4.71,5.37,15.22,32.93,29.3,35.05,6.56,37.81,-0.48,static
-35.85,4.71,5.35,15.23,32.92,29.34,35.06,6.6,37.81,-0.48,static
-35.89,4.71,5.35,15.21,32.91,29.35,35.08,6.61,37.82,-0.46,static
-35.86,4.69,5.39,15.2,32.91,29.3,35.09,6.62,37.84,-0.45,static
-35.83,4.65,5.42,15.15,32.91,29.29,35.12,6.64,37.87,-0.45,static
-35.83,4.63,5.41,15.14,32.89,29.29,35.12,6.63,37.88,-0.43,static
-35.89,4.62,5.35,15.19,32.9,29.33,35.12,6.66,37.87,-0.46,static
-35.89,4.59,5.32,15.12,32.86,29.27,35.08,6.63,37.86,-0.46,static
-35.9,4.55,5.32,15.03,32.83,29.21,35.07,6.59,37.85,-0.43,static
-35.85,4.52,5.34,14.97,32.84,29.15,35.05,6.53,37.85,-0.48,static
-35.85,4.49,5.35,14.85,32.81,29.03,35.03,6.4,37.85,-0.48,static
-35.84,4.46,5.37,14.73,32.78,28.88,34.98,6.26,37.85,-0.55,static
-35.8,4.47,5.41,14.71,32.79,28.83,34.99,6.21,37.85,-0.57,static
-35.77,4.46,5.43,14.66,32.78,28.73,34.93,6.11,37.81,-0.59,static
-35.82,4.47,5.39,14.65,32.73,28.72,34.89,6.11,37.76,-0.62,static
-35.82,4.48,5.38,14.68,32.74,28.74,34.9,6.13,37.73,-0.61,static
-35.81,4.51,5.36,14.77,32.75,28.85,34.89,6.22,37.72,-0.6,static
-35.81,4.55,5.35,14.86,32.8,28.93,34.91,6.25,37.71,-0.61,static
-35.77,4.56,5.37,14.9,32.81,29.0,34.91,6.31,37.7,-0.57,static
-35.78,4.58,5.39,14.92,32.81,29.03,34.94,6.33,37.72,-0.58,static
-35.77,4.58,5.37,14.95,32.84,29.08,34.98,6.38,37.74,-0.55,static
-35.8,4.58,5.38,14.96,32.84,29.11,35.03,6.42,37.8,-0.52,static
-35.86,4.61,5.32,14.99,32.81,29.12,35.04,6.41,37.82,-0.53,static
-35.84,4.63,5.33,15.04,32.83,29.14,35.01,6.42,37.8,-0.5,static
-35.85,4.65,5.3,15.08,32.84,29.18,35.03,6.46,37.81,-0.53,static
-35.86,4.64,5.31,15.07,32.84,29.19,35.05,6.52,37.78,-0.49,static
-35.85,4.62,5.29,15.04,32.83,29.2,35.04,6.55,37.8,-0.48,static
-35.86,4.62,5.23,15.03,32.83,29.19,35.02,6.55,37.8,-0.49,static
-35.93,4.65,5.17,15.06,32.81,29.22,34.99,6.55,37.78,-0.47,static
-35.9,4.64,5.17,15.0,32.8,29.17,34.98,6.51,37.78,-0.49,static
-35.87,4.6,5.16,14.97,32.78,29.16,34.98,6.51,37.78,-0.48,static
-35.86,4.59,5.16,14.95,32.79,29.15,35.0,6.53,37.79,-0.44,static
-35.86,4.58,5.21,14.94,32.81,29.13,35.03,6.53,37.81,-0.44,static
-35.85,4.55,5.26,14.87,32.82,29.09,35.05,6.5,37.82,-0.41,static
-35.85,4.53,5.3,14.81,32.8,29.02,35.05,6.46,37.83,-0.43,static
-35.87,4.48,5.34,14.7,32.76,28.9,35.03,6.37,37.83,-0.45,static
-35.85,4.43,5.37,14.62,32.74,28.8,35.0,6.28,37.81,-0.48,static
-35.85,4.38,5.41,14.57,32.7,28.74,34.99,6.25,37.82,-0.5,static
-35.83,4.37,5.47,14.53,32.74,28.67,34.97,6.15,37.79,-0.53,static
-35.87,4.38,5.48,14.56,32.74,28.66,34.98,6.1,37.8,-0.56,static
-35.82,4.48,5.47,14.71,32.8,28.79,35.0,6.12,37.8,-0.59,static
-35.81,4.51,5.5,14.78,32.82,28.81,35.0,6.1,37.8,-0.57,static
-35.81,4.49,5.54,14.8,32.86,28.85,35.05,6.13,37.86,-0.58,static
