1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
2.18,-62.85,82.06,21.47,110.7,5.18,92.87,-4.13,102.68,-20.73,thumbs up
2.49,-63.02,81.97,21.45,110.68,5.21,92.88,-4.13,102.73,-20.75,thumbs up
2.54,-62.93,81.91,21.57,110.7,5.31,92.93,-4.05,102.76,-20.65,thumbs up
2.48,-62.9,81.91,21.58,110.66,5.34,92.9,-4.02,102.71,-20.61,thumbs up
2.54,-62.99,81.92,21.54,110.65,5.37,92.89,-4.03,102.76,-20.63,thumbs up
2.81,-63.14,81.92,21.58,110.67,5.39,92.97,-4.0,102.85,-20.58,thumbs up
2.9,-63.12,81.86,21.58,110.7,5.37,93.02,-4.01,102.83,-20.51,thumbs up
2.84,-63.13,81.84,21.49,110.63,5.36,92.9,-4.05,102.84,-20.58,thumbs up
2.9,-63.04,81.81,21.43,110.56,5.32,92.88,-4.09,102.91,-20.56,thumbs up
2.5,-62.94,81.9,21.52,110.63,5.3,92.87,-4.02,102.82,-20.44,thumbs up
2.39,-62.85,81.91,21.43,110.6,5.26,92.78,-4.02,102.67,-20.53,thumbs up
2.59,-62.77,82.02,21.36,110.6,5.23,92.81,-4.09,102.77,-20.66,thumbs up
2.7,-62.84,82.0,21.47,110.7,5.29,92.87,-4.01,102.66,-20.65,thumbs up
2.8,-62.83,81.98,21.51,110.7,5.32,92.91,-4.0,102.67,-20.67,thumbs up
2.99,-62.84,81.94,21.48,110.72,5.31,92.92,-4.01,102.61,-20.69,thumbs up
2.87,-62.8,81.91,21.45,110.7,5.34,92.86,-3.98,102.63,-20.64,thumbs up
2.85,-62.67,81.84,21.44,110.6,5.4,92.83,-3.92,102.67,-20.59,thumbs up
2.42,-62.68,81.92,21.47,110.69,5.37,92.87,-3.92,102.63,-20.52,thumbs up
2.24,-62.59,81.93,21.35,110.59,5.27,92.75,-3.99,102.61,-20.59,thumbs up
2.39,-62.46,81.9,21.27,110.59,5.29,92.78,-3.91,102.54,-20.53,thumbs up
2.46,-62.64,81.92,21.34,110.66,5.28,92.77,-3.92,102.56,-20.54,thumbs up
2.48,-62.63,81.97,21.29,110.69,5.22,92.81,-4.02,102.63,-20.67,thumbs up
2.48,-62.51,81.95,21.3,110.67,5.23,92.78,-3.98,102.62,-20.58,thumbs up
2.23,-62.46,81.99,21.28,110.66,5.21,92.74,-3.95,102.57,-20.51,thumbs up
2.23,-62.36,82.08,21.25,110.66,5.17,92.78,-4.02,102.57,-20.63,thumbs up
2.28,-62.49,82.13,21.39,110.78,5.22,92.88,-4.05,102.66,-20.73,thumbs up
2.42,-62.71,82.13,21.52,110.88,5.25,93.01,-4.03,102.73,-20.76,thumbs up
2.63,-62.74,82.03,21.56,110.84,5.31,93.01,-4.0,102.77,-20.69,thumbs up
