1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-27.65,-33.87,7.25,-72.07,49.1,-65.13,47.64,12.79,42.39,11.08,victory
-27.54,-33.7,7.94,-72.19,49.38,-65.07,47.53,13.02,42.47,11.31,victory
-27.45,-33.44,9.0,-72.74,50.45,-65.31,47.48,12.85,42.63,11.04,victory
-27.17,-32.94,9.45,-73.24,50.93,-65.61,47.48,12.7,42.92,10.58,victory
-27.2,-32.75,8.71,-72.89,49.54,-66.11,47.16,12.93,43.08,10.46,victory
-27.6,-32.7,8.06,-72.37,48.19,-65.78,46.75,13.34,42.95,10.73,victory
-27.81,-32.67,7.68,-72.02,47.47,-65.3,46.5,13.72,42.58,11.45,victory
-27.74,-32.49,8.51,-72.07,47.53,-64.99,46.29,13.94,42.39,11.81,victory
-27.33,-32.23,9.54,-72.59,48.24,-65.29,46.27,13.72,42.35,11.78,victory
-27.39,-31.88,10.19,-72.85,48.86,-65.67,46.45,13.45,42.33,11.49,victory
-27.67,-30.82,10.05,-72.52,48.54,-65.63,46.49,13.58,42.27,11.55,victory
-27.29,-30.67,10.02,-72.45,47.68,-65.59,46.44,13.72,42.21,11.77,victory
-27.17,-30.94,9.6,-72.46,47.11,-65.54,46.49,14.11,41.28,16.72,victory
-27.49,-30.87,10.18,-72.56,47.13,-65.24,46.29,14.77,41.05,18.24,victory
-27.47,-30.74,10.97,-72.73,47.62,-65.21,46.36,15.08,41.19,18.33,victory
-27.38,-30.8,10.98,-73.03,48.0,-65.39,46.45,16.69,41.32,22.64,victory
-27.86,-31.73,11.12,-72.74,47.27,-64.2,46.13,20.8,41.05,28.39,victory
-28.88,-32.7,10.63,-72.33,46.04,-62.77,45.2,27.52,41.29,34.5,victory
-28.88,-33.5,12.24,-72.95,45.1,-61.91,44.31,30.35,41.63,37.58,victory
-28.5,-33.46,13.38,-72.86,45.43,-61.62,44.53,30.43,42.29,37.06,victory
-28.32,-33.63,12.76,-72.75,43.19,-61.33,45.43,32.28,43.81,39.28,victory
-27.85,-34.04,13.08,-72.86,42.26,-59.43,46.73,35.29,45.27,42.9,victory
-27.37,-34.49,13.17,-73.09,40.65,-57.24,47.01,36.59,45.7,43.49,victory
-27.45,-34.93,12.82,-72.98,39.23,-57.07,47.31,36.11,46.39,42.55,victory
-27.25,-34.83,12.56,-73.01,38.09,-57.17,47.57,36.18,47.36,42.19,victory
-27.21,-35.05,11.79,-73.01,36.4,-57.19,48.24,35.6,48.32,41.31,victory
-27.24,-35.03,11.47,-72.71,34.94,-56.93,48.72,35.63,49.05,40.82,victory
-27.14,-35.08,10.98,-72.49,33.99,-57.45,48.72,35.9,49.52,40.66,victory
-27.05,-35.27,10.45,-72.39,32.55,-57.84,48.86,36.16,50.22,40.77,victory
-26.76,-35.14,11.35,-72.13,32.08,-57.85,49.14,36.45,50.81,40.9,victory
-26.53,-35.01,13.21,-72.31,32.99,-58.2,49.49,36.52,51.35,40.84,victory
-26.17,-35.21,14.11,-72.57,32.76,-57.89,50.75,37.23,52.55,42.13,victory
-25.74,-35.26,15.41,-72.88,32.92,-58.16,51.06,36.97,53.04,41.86,victory
-25.64,-35.19,15.76,-72.93,33.19,-58.24,51.24,36.89,53.31,41.46,victory
-25.63,-35.24,15.66,-72.99,33.0,-58.43,51.58,37.01,53.74,41.54,victory
-25.68,-35.36,15.78,-73.02,32.5,-58.51,51.71,37.04,53.95,41.59,victory
-25.6,-35.38,16.44,-73.42,33.05,-59.12,51.7,36.79,54.27,41.29,victory
-25.64,-35.26,16.22,-73.3,32.87,-59.36,51.99,36.89,54.61,41.35,victory
-25.69,-35.21,15.63,-73.18,32.8,-59.42,52.19,36.98,54.9,41.28,victory
-25.96,-35.25,15.39,-73.26,32.99,-59.83,52.28,36.96,55.22,41.32,victory
-25.91,-35.22,15.24,-73.15,32.87,-59.7,52.34,36.76,55.31,41.1,victory
-25.94,-35.18,14.69,-73.08,32.56,-59.72,52.57,36.79,55.6,41.11,victory
-26.11,-35.25,14.13,-72.98,32.2,-59.81,52.66,36.84,55.83,41.19,victory
-26.35,-35.2,13.98,-72.71,32.25,-59.69,52.75,36.84,55.96,41.17,victory
-26.33,-35.16,13.68,-72.74,32.1,-59.65,52.82,36.95,56.09,41.3,victory
-26.45,-35.17,13.16,-72.26,31.81,-59.38,52.86,36.93,56.22,41.21,victory
-26.56,-35.08,13.49,-71.79,31.58,-58.78,53.15,37.2,56.49,41.46,victory
-26.49,-35.08,13.68,-71.78,31.56,-58.65,53.23,37.27,56.56,41.63,victory
-26.42,-35.05,14.18,-71.85,31.77,-58.52,53.22,37.41,56.56,41.86,victory
-26.45,-34.94,14.98,-72.14,32.25,-58.68,53.18,37.39,56.67,41.92,victory
-26.34,-34.72,16.05,-72.36,33.04,-58.89,53.23,37.33,56.76,41.94,victory
-26.44,-34.61,16.02,-72.27,33.39,-58.91,53.31,37.39,56.84,42.03,victory
-26.66,-34.68,15.13,-72.34,32.89,-59.05,53.21,37.38,56.8,41.99,victory
-26.99,-34.75,13.82,-71.82,32.32,-58.85,53.27,37.59,56.85,42.14,victory
-27.32,-34.77,12.98,-71.57,31.87,-58.68,53.38,37.82,56.96,42.34,victory
-27.32,-34.76,13.55,-72.01,32.77,-60.07,53.12,38.18,56.99,42.68,victory
-27.28,-34.4,14.61,-72.18,34.51,-61.7,52.96,38.63,56.87,43.12,victory
-27.75,-34.13,14.98,-72.15,35.55,-62.44,52.84,38.97,56.95,43.38,victory
-28.02,-33.84,14.71,-71.77,35.74,-61.9,52.61,39.64,57.09,43.9,victory
-27.99,-33.88,14.33,-71.73,35.83,-61.66,52.56,40.13,57.09,44.5,victory
-28.05,-33.9,13.94,-71.62,35.88,-61.96,52.57,40.06,57.13,44.45,victory
-28.12,-33.84,13.39,-71.31,35.69,-61.69,52.65,39.9,57.26,44.24,victory
-28.16,-33.95,12.63,-71.05,34.62,-60.99,52.82,40.0,57.35,44.3,victory
-27.92,-33.97,12.73,-71.03,34.31,-60.68,53.3,40.57,57.6,45.08,victory
-27.62,-33.98,14.17,-71.16,35.15,-60.29,53.57,40.76,57.74,45.58,victory
-27.39,-33.85,15.48,-71.2,35.78,-59.86,54.13,41.76,57.98,46.82,victory
-27.31,-33.83,15.64,-71.3,35.68,-59.41,54.33,41.81,58.32,46.86,victory
-27.33,-33.86,15.63,-71.32,35.56,-59.34,54.56,41.82,58.51,46.91,victory
-27.44,-33.83,15.77,-70.96,35.64,-58.68,54.82,42.04,58.71,47.11,victory
-27.5,-33.79,15.47,-70.72,35.61,-58.47,55.24,42.21,59.65,47.48,victory
-27.58,-33.75,15.36,-70.87,35.61,-58.65,55.44,42.05,59.75,47.25,victory
-27.51,-33.79,15.1,-70.92,35.29,-58.62,55.5,41.88,59.88,47.0,victory
-27.48,-33.86,14.82,-70.71,35.04,-58.41,55.57,41.92,59.97,47.02,victory
-27.52,-33.83,14.73,-70.59,34.58,-58.33,55.77,42.02,60.16,47.09,victory
-27.49,-33.81,14.91,-70.78,35.07,-58.64,55.94,41.98,60.24,47.09,victory
-27.41,-33.75,15.36,-71.1,35.37,-58.9,55.73,41.95,60.1,47.02,victory
-27.47,-33.7,15.04,-70.9,35.5,-58.82,56.21,42.22,60.52,47.4,victory
-27.46,-33.69,14.7,-70.78,35.45,-58.67,56.57,42.34,60.86,47.52,victory
-27.4,-33.62,14.68,-70.93,35.48,-58.55,56.81,43.0,61.01,48.15,victory
-27.45,-33.83,14.47,-71.0,34.93,-58.16,57.39,43.35,61.34,48.6,victory
-27.41,-34.02,13.94,-71.08,35.13,-57.11,57.95,44.39,61.57,49.76,victory
-27.34,-33.98,13.86,-70.89,34.9,-56.61,58.01,44.33,61.74,49.59,victory
-27.28,-33.99,13.9,-70.65,34.6,-56.21,58.46,44.46,62.2,49.69,victory
-27.24,-34.06,13.88,-70.78,34.45,-56.18,58.98,44.46,62.7,49.78,victory
-27.14,-34.19,14.27,-70.8,34.31,-56.12,59.18,44.24,63.14,49.65,victory
-27.04,-34.15,15.04,-70.94,34.51,-56.32,59.36,43.9,63.38,49.43,victory
-27.05,-34.01,14.77,-70.75,34.33,-56.04,59.72,43.72,63.73,49.26,victory
-27.1,-34.01,14.27,-70.78,33.91,-56.16,60.04,43.72,64.04,49.27,victory
-27.22,-34.05,14.06,-70.75,33.61,-56.18,60.24,43.61,64.38,49.16,victory
-27.42,-33.99,13.58,-70.32,33.38,-55.81,60.52,43.64,64.73,49.11,victory
-27.45,-34.05,12.91,-70.1,32.73,-55.68,60.74,43.7,65.11,49.21,victory
-27.5,-34.11,12.93,-70.21,32.42,-55.82,60.77,43.5,65.28,49.1,victory
-27.57,-34.0,13.77,-70.3,33.0,-55.94,60.94,43.53,65.41,49.14,victory
-27.5,-33.8,14.62,-70.38,33.48,-55.86,61.22,43.61,65.72,49.25,victory
-27.48,-33.86,14.93,-70.64,33.69,-55.95,61.36,43.72,65.9,49.34,victory
-27.29,-33.92,15.19,-71.05,34.03,-56.44,61.37,43.59,65.92,49.39,victory
-27.22,-33.75,15.86,-71.24,34.81,-56.65,61.42,43.44,65.9,49.29,victory
-27.33,-33.51,16.14,-71.15,35.4,-56.72,61.6,43.43,66.01,49.22,victory
-27.4,-33.58,15.37,-71.23,35.19,-56.98,61.58,43.58,66.03,49.37,victory
-27.66,-33.71,14.28,-71.06,34.66,-56.86,61.8,43.71,66.29,49.46,victory
-27.7,-33.66,14.26,-71.31,35.06,-56.93,61.89,43.66,66.26,49.46,victory
-27.56,-33.44,15.64,-71.47,36.02,-57.1,61.86,43.57,66.21,49.38,victory
-27.52,-33.26,15.85,-71.59,37.15,-57.08,61.82,43.74,66.29,49.43,victory
-27.62,-33.34,15.57,-71.66,37.37,-57.91,61.92,43.63,66.29,49.25,victory
-27.95,-33.38,14.68,-71.19,37.44,-57.47,62.04,43.29,66.33,48.84,victory
-28.11,-33.53,14.22,-71.08,37.11,-57.31,62.11,43.38,66.47,48.91,victory
-28.06,-33.86,13.9,-71.22,37.32,-57.13,62.06,43.33,66.41,48.87,victory
-27.94,-33.89,13.93,-71.21,37.3,-57.23,62.0,43.35,66.4,48.9,victory
-27.72,-33.51,14.9,-71.3,38.37,-57.43,62.12,43.47,66.5,48.98,victory
-27.47,-33.18,14.54,-71.35,38.67,-57.54,62.4,43.78,66.73,49.22,victory
-26.9,-32.58,14.13,-71.14,39.14,-57.54,62.71,44.42,67.06,49.89,victory
-26.0,-30.18,18.46,-70.04,42.91,-57.2,64.06,44.94,68.24,50.13,victory
-26.05,-29.38,20.56,-69.76,44.14,-56.84,65.12,44.11,69.27,49.22,victory
-26.24,-29.34,22.17,-69.48,44.72,-56.39,65.59,43.22,69.69,48.31,victory
-26.51,-29.65,22.39,-69.43,44.9,-56.08,65.68,42.86,69.85,47.97,victory
-27.0,-30.44,21.74,-69.61,43.96,-56.04,65.52,42.1,69.75,47.33,victory
-27.64,-31.35,22.06,-69.44,43.39,-55.41,65.25,41.2,69.63,46.57,victory
-27.71,-31.4,22.11,-69.32,43.53,-55.38,65.43,41.53,69.86,46.91,victory
-27.81,-31.59,21.38,-69.73,43.35,-55.92,65.32,41.51,69.85,46.94,victory
-27.77,-31.46,21.41,-69.73,43.42,-55.89,65.3,41.42,69.78,46.82,victory
-27.95,-31.6,20.49,-69.53,42.9,-55.71,65.43,41.54,69.9,46.87,victory
-27.99,-31.77,19.78,-69.51,42.48,-55.64,65.41,41.89,69.89,47.21,victory
-28.0,-31.93,19.02,-69.2,42.05,-55.6,65.33,41.91,69.79,47.25,victory
-28.02,-31.88,19.41,-69.03,42.25,-55.23,65.37,42.02,69.79,47.31,victory
-27.98,-31.82,19.33,-69.08,42.41,-55.18,65.39,42.22,69.81,47.44,victory
