1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
133.36,-67.92,33.02,-74.31,18.96,60.36,30.16,24.11,153.44,-69.31,yoo
132.97,-68.05,33.49,-74.6,19.09,60.27,30.26,23.98,153.18,-69.52,yoo
131.78,-68.13,34.18,-75.45,19.3,59.57,30.13,23.21,153.54,-69.9,yoo
131.81,-67.94,34.07,-75.56,19.37,59.61,30.13,23.29,153.45,-70.5,yoo
131.48,-68.02,34.91,-75.82,19.46,59.75,30.09,23.53,152.95,-69.92,yoo
130.59,-68.02,35.35,-75.92,19.69,59.53,30.22,23.48,152.82,-70.2,yoo
129.96,-67.84,35.99,-76.17,19.85,59.63,30.24,23.69,152.77,-70.32,yoo
129.83,-68.05,35.63,-76.43,20.05,59.4,30.25,23.54,152.81,-70.42,yoo
129.51,-67.86,35.21,-76.57,20.33,59.28,30.39,23.42,153.14,-70.39,yoo
129.88,-68.06,34.08,-76.64,20.36,59.17,30.49,23.34,152.85,-70.95,yoo
130.37,-67.73,33.47,-76.94,20.15,59.02,30.56,23.14,152.54,-71.62,yoo
130.98,-67.58,31.64,-76.97,19.88,59.03,30.5,23.15,153.02,-72.48,yoo
131.92,-67.52,31.31,-76.64,19.64,59.21,30.52,23.37,151.77,-73.29,yoo
131.62,-67.78,31.63,-76.36,19.84,59.32,30.67,23.44,150.53,-73.52,yoo
131.12,-67.88,32.15,-75.89,20.3,59.56,30.81,23.72,148.76,-73.52,yoo
130.84,-68.43,31.85,-75.82,20.34,59.7,30.64,23.94,147.55,-73.37,yoo
131.21,-68.8,30.78,-75.65,19.98,59.93,30.26,24.18,146.28,-73.43,yoo
131.16,-68.84,30.26,-75.98,19.8,59.83,30.24,24.16,146.72,-73.66,yoo
131.31,-68.76,30.2,-76.03,19.83,59.92,30.31,24.32,146.65,-73.81,yoo
131.69,-68.82,30.02,-76.16,19.6,59.76,30.32,24.21,145.75,-73.95,yoo
131.94,-68.94,29.41,-76.3,19.35,59.69,30.18,24.23,145.02,-74.43,yoo
131.28,-69.0,29.02,-76.37,19.17,59.82,30.06,24.43,145.29,-74.96,yoo
131.52,-69.64,27.44,-76.3,19.02,59.88,29.85,24.48,143.6,-75.74,yoo
131.76,-69.46,26.57,-75.92,19.04,59.99,29.87,24.56,143.79,-76.15,yoo
