1 roll,1 pitch,2 roll,2 pitch,3 roll,3 pitch,4 roll,4 pitch,5 roll,5 pitch,result
-48.0,24.59,16.94,31.79,162.49,-26.93,171.14,6.73,160.64,34.81,you
-47.76,24.79,17.69,30.72,161.25,-27.62,170.75,5.99,160.81,33.72,you
-47.56,24.72,17.39,30.96,160.53,-27.37,169.89,5.99,160.41,33.34,you
-47.67,24.72,16.56,31.11,160.36,-27.32,169.22,6.16,159.83,32.8,you
-47.97,25.03,15.38,31.29,159.75,-27.01,168.56,6.31,159.44,32.22,you
-48.0,25.34,15.21,31.56,159.2,-26.61,168.0,6.45,158.9,31.82,you
-48.06,25.48,14.74,31.86,158.76,-26.06,167.59,6.97,158.28,31.7,you
-47.65,25.72,14.86,32.11,157.76,-25.65,166.75,7.41,157.57,31.36,you
-47.33,25.99,14.74,32.44,157.2,-25.03,166.09,7.72,156.99,31.1,you
-47.36,25.77,14.55,32.65,157.09,-24.57,165.94,7.59,156.83,30.36,you
-47.12,25.98,14.74,33.01,156.65,-24.08,165.86,7.73,156.93,29.94,you
-46.6,26.19,15.24,33.01,155.99,-23.54,165.38,8.03,156.45,29.68,you
-46.57,25.85,16.32,32.67,156.13,-23.09,164.57,8.27,155.48,29.34,you
-46.49,25.79,16.51,32.42,155.79,-22.25,164.28,9.07,155.15,29.56,you
-46.37,26.33,16.27,32.68,155.3,-21.39,164.12,9.45,155.19,29.47,you
-46.11,26.74,16.67,32.83,154.82,-20.86,162.93,9.14,154.88,29.11,you
-45.89,26.76,16.77,32.64,154.75,-20.45,162.87,9.08,154.86,28.47,you
-45.7,26.46,17.44,32.33,154.84,-20.01,162.84,9.55,154.72,28.26,you
-45.32,26.57,17.69,32.4,154.19,-19.3,162.79,10.67,154.73,28.77,you
-45.06,26.86,18.06,32.17,153.49,-19.14,162.35,10.77,154.51,28.44,you
-44.9,26.97,18.2,32.12,153.1,-18.64,162.09,11.08,154.25,28.23,you
-44.99,27.04,17.8,32.35,152.97,-18.06,162.07,11.38,154.22,28.15,you
-45.13,27.07,17.98,32.37,152.96,-17.57,161.68,11.66,153.83,28.02,you
-45.2,27.36,17.88,32.62,152.77,-16.8,161.34,12.39,153.44,28.17,you
-45.25,27.76,17.87,32.84,152.43,-16.07,160.94,13.0,152.99,28.31,you
-45.19,27.88,17.54,32.77,152.33,-15.57,160.67,13.14,152.61,28.28,you
-45.35,27.9,17.64,32.72,152.32,-15.14,160.49,13.33,152.33,28.23,you
-45.62,27.96,17.35,32.74,152.41,-14.58,160.48,13.58,152.14,28.25,you
-45.72,27.97,17.33,32.71,152.36,-14.07,160.44,13.88,152.03,28.39,you
-45.6,28.08,17.08,32.74,152.09,-13.79,160.26,13.97,151.91,28.54,you
-45.15,28.13,17.22,32.7,151.74,-13.51,160.29,14.25,151.83,28.69,you
-45.12,28.05,17.37,32.59,151.58,-13.15,160.32,14.79,151.74,29.13,you
-45.14,28.07,17.01,32.44,151.36,-12.84,160.27,15.24,151.68,29.43,you
-45.14,28.41,16.95,32.67,151.28,-12.49,160.22,15.35,151.61,29.41,you
-45.2,28.51,17.01,32.63,151.44,-12.29,160.28,15.34,151.5,29.24,you
-45.13,28.43,16.81,32.31,151.46,-12.13,160.34,15.56,151.49,29.33,you
-45.11,28.48,17.15,32.17,151.45,-12.0,159.75,15.59,151.39,29.45,you
-44.84,28.55,17.57,32.09,151.22,-11.94,159.7,15.76,151.31,29.51,you
-44.77,28.56,17.22,32.16,151.18,-11.7,159.76,16.03,151.24,29.7,you
-44.93,28.7,17.01,32.32,151.45,-11.43,160.04,16.18,151.38,29.82,you
